34,12.714,7,14,5.286,25
24,15.143,8,21,6.143,25
100,29.429,9,19,8.857,25
54,35.714,7,18,12,25
69,44.286,6,23,15.143,25
37,47.429,6,19,13.571,25
117,62.143,9,39,17.857,25
161,80.286,2,38,21.429,25
0,76.857,3,32,25.286,25
487,132.143,4,57,27,25
220,155.857,2,46,28.857,33.33
841,266.143,7,58,34.143,33.33
0,260.857,11,44,44.429,33.33
500,315.571,12,57,47.857,44.44
328,339.429,2,60,49.286,73.15
1047,489,4,57,51.429,73.15
1219,593.571,4,55,57.429,73.15
1281,745.143,8,50,59.286,73.15
899,753.429,12,50,58,73.15
1321,942.143,13,56,55.429,73.15
1082,1025.286,12,58,58.143,73.15
1020,1124.143,6,44,58.857,73.15
914,1105.143,3,52,58.714,73.15
1117,1090.571,6,45,52.857,73.15
1148,1071.571,8,36,55.857,73.15
753,1050.714,12,36,53.286,73.15
1093,1018.143,14,37,50.429,73.15
683,961.143,6,38,49.143,73.15
1163,981.571,8,38,47.571,73.15
1059,1002.286,10,36,46.429,73.15
779,954,3,34,47.429,73.15
899,918.429,1,21,41,73.15
595,895.857,2,38,41.571,73.15
557,819.286,6,33,43.429,73.15
596,806.857,7,27,38.571,73.15
1027,787.429,7,31,38.286,73.15
771,746.286,7,27,37.429,73.15
500,706.429,9,25,33,73.15
556,657.429,7,13,31,73.15
308,616.429,3,23,33.714,73.15
273,575.857,3,12,31.571,73.15
248,526.143,4,11,29.571,73.15
400,436.571,5,13,26.857,73.15
396,383,9,12,23.571,73.15
346,361,8,9,23.286,73.15
326,328.143,10,8,21.714,73.15
336,332.143,10,9,17,73.15
204,322.286,9,10,13.714,73.15
119,303.857,10,4,12.714,73.15
205,276,13,12,10.429,73.15
228,252,12,7,9.857,73.15
181,228.429,8,5,9.714,73.15
217,212.857,9,7,10.143,73.15
167,188.714,7,3,8.714,73.15
103,174.286,5,1,10.286,73.15
100,171.571,5,1,9.286,69.44
143,162.714,7,2,8.857,69.44
179,155.714,7,5,7.857,69.44
119,146.857,8,1,7,69.44
112,131.857,9,4,6.857,69.44
88,120.571,7,3,5.857,69.44
76,116.714,2,4,3.429,69.44
28,106.429,1,0,3.143,69.44
51,93.286,2,5,3.714,69.44
66,77.143,9,1,3.571,69.44
81,71.714,7,1,3.714,69.44
44,62,10,0,3.571,69.44
54,57.143,11,2,3.857,69.44
39,51.857,8,2,3.429,69.44
36,53,8,0,3.571,58.33
33,50.429,8,0,3,58.33
50,48.143,7,0,2.286,58.33
51,43.857,6,0,2,58.33
58,45.857,7,0,2,58.33
15,40.286,11,0,1,58.33
10,36.143,11,0,0.714,58.33
21,34,12,0,0.571,58.33
40,35,11,0,0.286,58.33
